中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,584 Mbps,74752 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,504 Mbps,64614 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,48 ms,498 Mbps,63795 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,45 ms,840 Mbps,107520 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,63 ms,194 Mbps,24883 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,60 ms,436 Mbps,55910 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,49 ms,426 Mbps,54579 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,51 ms,521 Mbps,66764 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,48 ms,344 Mbps,44032 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,25 ms,312 Mbps,39936 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,48 ms,320 Mbps,41062 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,149 ms,44 Mbps,5702 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,124 ms,42 Mbps,5424 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,128 ms,42 Mbps,5416 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,128 ms,182 Mbps,23347 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,146 ms,156 Mbps,19968 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,172 ms,39 Mbps,5080 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,118 ms,41 Mbps,5313 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,204 ms,18 Mbps,2368 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,200 ms,44 Mbps,5688 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,208 ms,23 Mbps,3006 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,224 ms,41 Mbps,5278 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,232 ms,90 Mbps,11571 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,241 ms,12 Mbps,1543 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,164 ms,35 Mbps,4567 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,157 ms,0 Mbps,42 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,193 ms,0 Mbps,3 kB/s
168.138.185.234,443,168.138.185.234,SG,Frankfurt,中转,266 ms,42 Mbps,5488 kB/s
