中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,74 ms,533 Mbps,68300 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,22 ms,800 Mbps,102400 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,1168 Mbps,149504 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,22 ms,800 Mbps,102400 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,61 ms,436 Mbps,55910 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,36 ms,394 Mbps,50483 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,39 ms,553 Mbps,70860 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,63 ms,45 Mbps,5828 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,43 ms,500 Mbps,64000 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,39 ms,613 Mbps,78540 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,27 ms,432 Mbps,55398 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,80 ms,37 Mbps,4790 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,36 ms,356 Mbps,45568 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,71 ms,152 Mbps,19558 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,171 ms,40 Mbps,5127 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,41 ms,287 Mbps,36761 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,137 ms,42 Mbps,5409 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,138 ms,121 Mbps,15564 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,154 ms,63 Mbps,8154 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,137 ms,208 Mbps,26726 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,146 ms,104 Mbps,13312 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,156 ms,144 Mbps,18534 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,70 ms,50 Mbps,6473 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,75 ms,44 Mbps,5737 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,150 ms,198 Mbps,25395 kB/s
150.230.113.136,443,98.98.166.178,US,Frankfurt,隧道,151 ms,128 Mbps,16384 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,23 ms,864 Mbps,110592 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,129 ms,37 Mbps,4819 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,24 ms,49 Mbps,6276 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,103 ms,0 Mbps,94 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,156 ms,116 Mbps,14848 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,145 ms,40 Mbps,5198 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,70 ms,25 Mbps,3268 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,171 ms,96 Mbps,12288 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,192 ms,3 Mbps,428 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,165 ms,127 Mbps,16281 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,93 ms,45 Mbps,5806 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,144 ms,46 Mbps,6006 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,68 ms,35 Mbps,4483 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,57 ms,40 Mbps,5228 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,148 ms,47 Mbps,6106 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,141 ms,52 Mbps,6700 kB/s
144.21.42.109,443,2a0b:21c0:100a:1b3:0:e4d2:246f:da55,DE,Frankfurt,隧道,138 ms,134 Mbps,17203 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,152 ms,42 Mbps,5399 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,152 ms,122 Mbps,15667 kB/s
8.219.192.7,443,8.222.213.200,SG,Singapore,隧道,194 ms,72 Mbps,9259 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,137 ms,136 Mbps,17510 kB/s
144.22.252.124,443,144.22.252.124,BR,S
