中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,400 Mbps,51200 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,25 ms,65 Mbps,8399 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,22 ms,6 Mbps,833 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,56 ms,477 Mbps,61132 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,518 Mbps,66355 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,52 ms,540 Mbps,69222 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,430 Mbps,55091 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,48 ms,508 Mbps,65024 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,175 Mbps,22425 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,52 ms,461 Mbps,59084 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,105 ms,41 Mbps,5248 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,139 ms,179 Mbps,22937 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,248 Mbps,31846 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,137 ms,168 Mbps,21606 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,141 ms,48 Mbps,6160 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,143 ms,177 Mbps,22732 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,141 ms,49 Mbps,6285 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,145 ms,47 Mbps,6066 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,169 ms,41 Mbps,5271 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,185 ms,0 Mbps,95 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,192 ms,40 Mbps,5205 kB/s
8.219.79.212,443,47.236.51.143,SG,Singapore,隧道,210 ms,78 Mbps,10035 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,119 ms,41 Mbps,5340 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,36 Mbps,4633 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,233 ms,40 Mbps,5163 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,200 ms,1 Mbps,177 kB/s
