中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.197.23.75,443,35.212.248.117,US,Seattle,隧道,65 ms,399 Mbps,51097 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,34 ms,716 Mbps,91750 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:1b,US,Los Angeles,隧道,67 ms,66 Mbps,8524 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,404 Mbps,51712 kB/s
35.230.79.26,443,35.212.248.117,US,Seattle,隧道,71 ms,413 Mbps,52940 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,23 ms,38 Mbps,4887 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,21 ms,73 Mbps,9383 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,408 Mbps,52224 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,189 Mbps,24268 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,41 ms,75 Mbps,9721 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,80 ms,528 Mbps,67584 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,90 ms,526 Mbps,67379 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,32 ms,782 Mbps,100147 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,133 ms,248 Mbps,31744 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,41 Mbps,5325 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,60 ms,361 Mbps,46284 kB/s
150.230.44.13,443,150.230.44.13,US,Los Angeles,中转,72 ms,266 Mbps,34099 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,80 ms,444 Mbps,56832 kB/s
143.47.182.90,443,2606:f240:f00:a683:0:7502:5f9e:69f,US,Frankfurt,隧道,112 ms,177 Mbps,22732 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,112 ms,45 Mbps,5760 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,83 ms,380 Mbps,48640 kB/s
