中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,17 ms,731 Mbps,93593 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,15 ms,58 Mbps,7495 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,81 ms,47 Mbps,6018 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,11 ms,872 Mbps,111616 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,10 ms,74 Mbps,9597 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,356 Mbps,45670 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,262 Mbps,33587 kB/s
35.230.79.26,443,35.212.182.118,US,Seattle,隧道,78 ms,335 Mbps,42905 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,301 Mbps,38604 kB/s
35.197.23.75,443,35.212.182.118,US,Seattle,隧道,75 ms,346 Mbps,44339 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,266 Mbps,34099 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,77 ms,195 Mbps,24985 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,238 Mbps,30515 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,247 Mbps,31641 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,94 ms,327 Mbps,41881 kB/s
34.82.76.253,443,34.127.98.139,US,Seattle,隧道,76 ms,304 Mbps,38912 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,83 ms,306 Mbps,39219 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,83 ms,297 Mbps,38092 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,46 Mbps,5967 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,92 ms,44 Mbps,5696 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Los Angeles,隧道,71 ms,49 Mbps,6300 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,91 ms,44 Mbps,5690 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,95 ms,41 Mbps,5343 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,102 ms,207 Mbps,26521 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,189 ms,101 Mbps,13004 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,172 ms,47 Mbps,6141 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,102 ms,1 Mbps,252 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,84 ms,285 Mbps,36556 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,153 ms,29 Mbps,3715 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,174 ms,36 Mbps,4629 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,187 ms,35 Mbps,4534 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,107 Mbps,13721 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,180 ms,141 Mbps,18124 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,189 ms,130 Mbps,16691 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,238 ms,73 Mbps,9398 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,219 ms,80 Mbps,10342 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,190 ms,91 Mbps,11673 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,201 ms,36 Mbps,4722 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,225 ms,33 Mbps,4294 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,212 ms,40 Mbps,5232 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,261 ms,21 Mbps,2717 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,240 ms,2 Mbps,288 kB/s
130.162.144.191,443,2a09:bac5:4731:1482::20b:a3,KR,Seoul,隧道,216 ms,36 Mbps,4658 kB/s
168.138.212.80,443,168.138.212.80,JP,Seattle,中转,173 ms,37 Mbps,4804 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,35 Mbps,4506 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,228 ms,3 Mbps,441 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,223 ms,30 Mbps,3912 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,243 ms,47 Mbps,6032 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,244 ms,3 Mbps,427 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,152 ms,0 Mbps,31 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,201 ms,33 Mbps,4331 kB/s
