中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,22 ms,598 Mbps,76595 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,92 ms,364 Mbps,46592 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,37 ms,614 Mbps,78643 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,248 Mbps,31744 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,9 ms,84 Mbps,10752 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,234 Mbps,30003 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,8 ms,79 Mbps,10137 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,71 ms,294 Mbps,37683 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,101 ms,280 Mbps,35840 kB/s
193.122.62.253,443,2a0b:21c0:100a:1b2:0:fa58:1028:6788,DE,Frankfurt,隧道,104 ms,108 Mbps,13926 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,264 Mbps,33792 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,380 Mbps,48742 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,76 ms,245 Mbps,31436 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,89 ms,44 Mbps,5682 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,216 Mbps,27750 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,94 ms,42 Mbps,5494 kB/s
130.61.23.77,443,130.61.23.77,179 Mbps,22937 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,106 ms,42 Mbps,5468 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,87 ms,288 Mbps,36864 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,14 ms,42 Mbps,5387 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,93 ms,49 Mbps,6396 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,77 ms,328 Mbps,42086 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,193 ms,84 Mbps,10752 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,204 ms,117 Mbps,15052 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,217 ms,37 Mbps,4788 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,70 ms,395 Mbps,50585 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,213 ms,78 Mbps,10035 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,250 ms,27 Mbps,3575 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,281 Mbps,36044 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,118 ms,49 Mbps,6342 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,24 ms,896 Mbps,114688 kB/s
150.230.44.13,443,150.230.44.13,US,Los Angeles,中转,109 ms,285 Mbps,36556 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,200 ms,41 Mbps,5361 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:35,KR,Seoul,隧道,213 ms,34 Mbps,4479 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,242 ms,2 Mbps,332 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,94 ms,47 Mbps,6057 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,101 ms,48 Mbps,6168 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,223 Mbps,28569 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,234 ms,36 Mbps,4669 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,103 ms,44 Mbps,5665 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,187 ms,108 Mbps,13926 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,136 ms,94 Mbps,12083 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,217 ms,38 Mbps,4901 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,245 ms,2 Mbps,328 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,47 Mbps,6082 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,124 ms,261 Mbps,33484 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,95 ms,28 Mbps,3643 kB/s
158.178.154.78,443,2a0b:21c0:1007:c7:0:376e:7b09:91ec,DE,Frankfurt,隧道,102 ms,165 Mbps,21196 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,248 ms,51 Mbps,6583 kB/s
64.110.89.92,443,64.110.89.92,KR,Seoul,中转,212 ms,38 Mbps,4941 kB/s
158.180.95.219,443,2602:ffe4:407:20d9:0:6809:4db2:39a9,SG,Singapore,隧道,259 ms,51 Mbps,6608 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,225 ms,41 Mbps,5277 kB/s
168.138.149.17,443,168.138.149.17,BR,S
