中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,331 Mbps,42393 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,75 ms,313 Mbps,40140 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,77 ms,328 Mbps,42086 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,95 ms,216 Mbps,27750 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,96 ms,178 Mbps,22835 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,75 ms,286 Mbps,36659 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,76 ms,292 Mbps,37478 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,99 ms,47 Mbps,6107 kB/s
193.123.38.223,443,2606:f240:f00:dd8d:0:3dd2:fadf:bc85,DE,Frankfurt,隧道,102 ms,259 Mbps,33177 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,222 Mbps,28467 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,94 ms,48 Mbps,6253 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,47 Mbps,6041 kB/s
152.70.62.177,443,2606:f240:f00:6acf:0:8ac9:98f8:d63,DE,Frankfurt,隧道,112 ms,202 Mbps,25907 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,136 Mbps,17510 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,181 ms,128 Mbps,16486 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,190 ms,33 Mbps,4342 kB/s
129.146.7.98,443,129.146.7.98,US,Paris,中转,64 ms,109 Mbps,14028 kB/s
184.169.181.217,443,184.169.181.217,US,London,中转,68 ms,127 Mbps,16281 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,210 ms,36 Mbps,4706 kB/s
23.94.43.51,443,23.94.43.51,US,Amsterdam,中转,78 ms,108 Mbps,13824 kB/s
131.186.17.132,443,131.186.17.132,KR,Tokyo,中转,205 ms,31 Mbps,4092 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,232 ms,35 Mbps,4550 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,226 ms,27 Mbps,3556 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,230 ms,1 Mbps,142 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,257 ms,36 Mbps,4610 kB/s
158.180.89.154,443,2602:ffe4:407:20d9:0:400:b01e:bdf0,SG,Singapore,隧道,253 ms,31 Mbps,4031 kB/s
129.146.46.164,443,129.146.46.164,US,Paris,中转,281 ms,106 Mbps,13619 kB/s
129.159.84.71,443,129.159.84.71,US,Paris,中转,104 ms,0 Mbps,87 kB/s
