中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,5 ms,188 Mbps,24166 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,20 ms,72 Mbps,9298 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,11 ms,6 Mbps,875 kB/s
35.197.23.75,443,35.212.229.69,US,Seattle,隧道,75 ms,353 Mbps,45260 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,15 ms,864 Mbps,110592 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,220 Mbps,28262 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,30 ms,465 Mbps,59596 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,432 Mbps,55296 kB/s
129.146.46.164,443,129.146.46.164,320 Mbps,41062 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,226 Mbps,28979 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,97 ms,372 Mbps,47718 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,78 ms,384 Mbps,49152 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,84 ms,340 Mbps,43622 kB/s
35.230.79.26,443,35.212.229.69,US,Seattle,隧道,89 ms,171 Mbps,21913 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,101 ms,228 Mbps,29184 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,96 ms,46 Mbps,5958 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,66 ms,379 Mbps,48537 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,66 ms,219 Mbps,28057 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,85 ms,40 Mbps,5244 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,90 ms,20 Mbps,2659 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,87 ms,324 Mbps,41574 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,79 ms,278 Mbps,35635 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,93 ms,236 Mbps,30310 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,270 Mbps,34611 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,70 ms,320 Mbps,41062 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,93 ms,286 Mbps,36659 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,101 ms,44 Mbps,5681 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,94 ms,44 Mbps,5633 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,109 ms,41 Mbps,5254 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,104 ms,21 Mbps,2779 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,108 Mbps,13824 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,104 ms,43 Mbps,5542 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,196 ms,118 Mbps,15155 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,160 ms,156 Mbps,19968 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,222 ms,30 Mbps,3935 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,208 ms,76 Mbps,9758 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,230 ms,3 Mbps,495 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,241 ms,2 Mbps,295 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,219 ms,9 Mbps,1215 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,226 ms,16 Mbps,2154 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,242 ms,36 Mbps,4682 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,206 ms,73 Mbps,9429 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,247 ms,34 Mbps,4462 kB/s
130.162.144.191,443,2a09:bac5:4734:1482::20b:59,KR,Seoul,隧道,228 ms,36 Mbps,4674 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,220 ms,77 Mbps,9910 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,223 ms,2 Mbps,341 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,235 ms,33 Mbps,4275 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,235 ms,49 Mbps,6283 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,215 ms,2 Mbps,307 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,277 ms,5 Mbps,709 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,210 ms,33 Mbps,4245 kB/s
