中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,59 Mbps,7569 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,650 Mbps,83251 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,14 ms,87 Mbps,11161 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,500 Mbps,64000 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,98 ms,278 Mbps,35635 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,77 ms,212 Mbps,27238 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,9 ms,27 Mbps,3528 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,70 ms,302 Mbps,38707 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,249 Mbps,31948 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,76 ms,290 Mbps,37171 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,91 ms,256 Mbps,32870 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,18 ms,816 Mbps,104448 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,84 ms,291 Mbps,37273 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,353 Mbps,45260 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,86 ms,46 Mbps,5976 kB/s
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,87 Mbps,11161 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,254 Mbps,32563 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,91 ms,336 Mbps,43008 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,108 ms,239 Mbps,30617 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,91 ms,296 Mbps,37990 kB/s
