中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,6 ms,85 Mbps,10956 kB/s
129.80.237.223,443,129.80.237.223,US,Newark,中转,8 ms,791 Mbps,101273 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,74 ms,335 Mbps,42905 kB/s
129.80.177.42,443,129.80.177.42,US,Newark,中转,5 ms,96 Mbps,12288 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,668 Mbps,85504 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,75 ms,378 Mbps,48435 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,77 ms,374 Mbps,47923 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:42,US,Los Angeles,隧道,68 ms,61 Mbps,7863 kB/s
184.169.181.217,443,184.169.181.217,US,Portland,中转,65 ms,424 Mbps,54272 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,252 Mbps,32256 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,75 ms,192 Mbps,24576 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,84 ms,40 Mbps,5174 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,65 ms,313 Mbps,40140 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,95 ms,24 Mbps,3133 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,94 ms,43 Mbps,5593 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,258 Mbps,33075 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,220 Mbps,28160 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,63 ms,381 Mbps,48844 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,97 ms,259 Mbps,33177 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,102 ms,204 Mbps,26214 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,45 Mbps,5817 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,86 ms,43 Mbps,5607 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,166 ms,141 Mbps,18124 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,261 Mbps,33484 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,103 ms,40 Mbps,5151 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,95 ms,344 Mbps,44032 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,117 ms,40 Mbps,5132 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,189 ms,101 Mbps,13004 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,196 ms,83 Mbps,10649 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,200 ms,74 Mbps,9528 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,196 ms,108 Mbps,13824 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,203 ms,37 Mbps,4795 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,213 ms,30 Mbps,3883 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:11d,KR,Seoul,隧道,193 ms,86 Mbps,11059 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,236 ms,2 Mbps,310 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,221 ms,31 Mbps,3969 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,209 ms,39 Mbps,5117 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,225 ms,36 Mbps,4713 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,238 ms,10 Mbps,1354 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,26 Mbps,3446 kB/s
130.162.144.191,443,2a09:bac1:3f00::22:11b,KR,Seoul,隧道,208 ms,36 Mbps,4706 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,234 ms,77 Mbps,9910 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,219 ms,3 Mbps,453 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,225 ms,1 Mbps,208 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,249 ms,1 Mbps,170 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,255 ms,0 Mbps,34 kB/s
