中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,8 ms,864 Mbps,110592 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,530 Mbps,67891 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,20 ms,30 Mbps,3915 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,263 Mbps,33689 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,232 Mbps,29798 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,239 Mbps,30617 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Seattle,中转,0 ms,220 Mbps,28262 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,11 ms,48 Mbps,6216 kB/s
150.230.44.13,443,150.230.44.13,US,Seattle,中转,85 ms,245 Mbps,31436 kB/s
143.47.182.90,443,2606:f240:f00:a683:0:7502:5f9e:69f,US,Frankfurt,隧道,105 ms,216 Mbps,27648 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,103 ms,346 Mbps,44339 kB/s
35.230.79.26,443,35.212.141.86,US,Seattle,隧道,82 ms,335 Mbps,42905 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,111 ms,50 Mbps,6480 kB/s
184.169.181.217,443,184.169.181.217,US,Seattle,中转,75 ms,400 Mbps,51302 kB/s
47.90.141.204,443,91.149.239.198,US,San Jose,隧道,26 ms,36 Mbps,4623 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,108 ms,244 Mbps,31334 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,119 ms,232 Mbps,29696 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,35 ms,496 Mbps,63590 kB/s
35.197.23.75,443,35.212.141.86,US,Seattle,隧道,83 ms,321 Mbps,41164 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,107 ms,28 Mbps,3610 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,101 ms,114 Mbps,14643 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,88 ms,266 Mbps,34099 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,93 ms,48 Mbps,6175 kB/s
