中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,80 Mbps,10240 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,10 ms,1528 Mbps,195584 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,5 ms,1160 Mbps,148480 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,68 ms,332 Mbps,42496 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,672 Mbps,86016 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,60 ms,372 Mbps,47718 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,450 Mbps,57651 kB/s
143.47.252.60,443,2a0b:21c0:1007:c7:0:a7c2:89bf:1f13,DE,Frankfurt,隧道,98 ms,112 Mbps,14336 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,174 Mbps,22323 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,55 ms,373 Mbps,47820 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,79 ms,220 Mbps,28262 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,76 ms,273 Mbps,35020 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,217 Mbps,27852 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,100 ms,244 Mbps,31232 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,95 ms,220 Mbps,28160 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,44 Mbps,5653 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,70 ms,296 Mbps,37990 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,270 Mbps,34611 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,96 ms,47 Mbps,6128 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,161 ms,2 Mbps,331 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,169 ms,137 Mbps,17612 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,173 ms,9 Mbps,1180 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,174 ms,44 Mbps,5747 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,164 ms,4 Mbps,562 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,158 ms,43 Mbps,5546 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,231 ms,35 Mbps,4565 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,207 ms,38 Mbps,4889 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,212 ms,36 Mbps,4668 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,27 Mbps,3490 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,226 ms,0 Mbps,1 kB/s
8.219.86.116,443,47.84.40.188,SG,Singapore,隧道,276 ms,11 Mbps,1504 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,230 ms,3 Mbps,437 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,195 ms,82 Mbps,10547 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,215 ms,2 Mbps,307 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,284 ms,0 Mbps,16 kB/s
