中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,15 ms,781 Mbps,100044 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,15 ms,27 Mbps,3505 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,63 ms,466 Mbps,59699 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,379 Mbps,48537 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,400 Mbps,51200 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,56 ms,453 Mbps,58060 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,51 ms,315 Mbps,40345 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,20 ms,1000 Mbps,128000 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,104 ms,192 Mbps,24678 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,35 Mbps,4564 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,114 ms,40 Mbps,5167 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,326 Mbps,41779 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,53 ms,344 Mbps,44032 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,50 ms,431 Mbps,55193 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,77 ms,174 Mbps,22323 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,113 ms,42 Mbps,5413 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,176 Mbps,22528 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,119 ms,184 Mbps,23654 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,212 Mbps,27136 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,118 ms,39 Mbps,5014 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,161 Mbps,20684 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,48 Mbps,6203 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,163 ms,7 Mbps,956 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,154 ms,3 Mbps,463 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,44 Mbps,5699 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,210 ms,12 Mbps,1636 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,182 ms,34 Mbps,4355 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,184 ms,89 Mbps,11468 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,193 ms,10 Mbps,1351 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,239 ms,3 Mbps,387 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,233 ms,43 Mbps,5628 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,177 ms,26 Mbps,3392 kB/s
47.57.233.126,443,47.254.17.16,US,San Jose,隧道,199 ms,0 Mbps,73 kB/s
149.129.8.215,443,47.254.87.121,US,San Jose,隧道,202 ms,4 Mbps,541 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,273 ms,0 Mbps,12 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,201 ms,1 Mbps,128 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,300 Mbps,38502 kB/s
