中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,406 Mbps,52019 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,24 ms,984 Mbps,125952 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,63 ms,545 Mbps,69836 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,18 ms,76 Mbps,9849 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,60 ms,420 Mbps,53862 kB/s
35.230.79.26,443,35.212.219.103,US,Seattle,隧道,64 ms,215 Mbps,27545 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,55 ms,373 Mbps,47820 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,23 ms,758 Mbps,97075 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:42,US,Los Angeles,隧道,58 ms,55 Mbps,7088 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,113 ms,221 Mbps,28364 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,59 ms,323 Mbps,41369 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,478 Mbps,61235 kB/s
35.197.23.75,443,35.212.219.103,US,Seattle,隧道,56 ms,417 Mbps,53452 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,29 ms,37 Mbps,4781 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,41 Mbps,5321 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,110 ms,180 Mbps,23142 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Portland,隧道,63 ms,45 Mbps,5842 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,48 ms,460 Mbps,58880 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,204 Mbps,26214 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,114 ms,265 Mbps,33996 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,70 ms,228 Mbps,29286 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,53 ms,368 Mbps,47206 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,120 ms,44 Mbps,5718 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,120 ms,26 Mbps,3428 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,107 ms,44 Mbps,5678 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,181 Mbps,23244 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,153 ms,132 Mbps,16896 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,116 ms,44 Mbps,5663 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,118 ms,42 Mbps,5457 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,105 ms,41 Mbps,5261 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,177 ms,118 Mbps,15155 kB/s
