中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,739 Mbps,94617 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,20 ms,7 Mbps,954 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,57 ms,531 Mbps,67993 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,56 ms,501 Mbps,64204 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,54 ms,403 Mbps,51609 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,61 ms,438 Mbps,56115 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,380 Mbps,48640 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,303 Mbps,38809 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,23 ms,105 Mbps,13516 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,203 Mbps,26009 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,65 ms,432 Mbps,55296 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,370 Mbps,47411 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,192 Mbps,24576 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,114 ms,7 Mbps,1007 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,153 ms,125 Mbps,16076 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,45 Mbps,5776 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,150 ms,40 Mbps,5141 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,39 Mbps,5075 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,159 ms,48 Mbps,6155 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,192 ms,10 Mbps,1324 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,177 ms,43 Mbps,5562 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,48 Mbps,6166 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,232 ms,40 Mbps,5124 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,237 ms,39 Mbps,5014 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,174 ms,2 Mbps,359 kB/s
