中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,702 Mbps,89907 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,63 ms,317 Mbps,40652 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,50 ms,292 Mbps,37478 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,29 ms,2 Mbps,340 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,489 Mbps,62668 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,432 Mbps,55296 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,61 ms,461 Mbps,59084 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,51 ms,186 Mbps,23859 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,51 ms,423 Mbps,54169 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,147 Mbps,18841 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,151 ms,43 Mbps,5606 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,178 Mbps,22835 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,45 Mbps,5764 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,196 Mbps,25190 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,220 Mbps,28262 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,152 ms,41 Mbps,5257 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,119 ms,40 Mbps,5180 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,36 Mbps,4637 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,215 ms,22 Mbps,2851 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,33 Mbps,4329 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,198 ms,22 Mbps,2878 kB/s
