中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,2 ms,912 Mbps,116736 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1016 Mbps,130048 kB/s
35.197.23.75,443,35.212.182.118,US,Seattle,隧道,30 ms,824 Mbps,105472 kB/s
35.230.79.26,443,35.212.182.118,US,Seattle,隧道,22 ms,1008 Mbps,129024 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,630 Mbps,80691 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,295 Mbps,37785 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,2 ms,558 Mbps,71475 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,204 Mbps,26214 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,73 ms,30 Mbps,3928 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,143 ms,170 Mbps,21811 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,76 ms,326 Mbps,41779 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,61 ms,48 Mbps,6257 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,75 ms,395 Mbps,50585 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,150 ms,116 Mbps,14848 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,104 Mbps,13312 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,106 ms,283 Mbps,36249 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,177 ms,2 Mbps,371 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,158 ms,48 Mbps,6238 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,116 ms,47 Mbps,6124 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,50 Mbps,6405 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,144 Mbps,18432 kB/s
130.162.144.191,443,2a09:bac5:4732:1482::20b:8b,KR,Seoul,隧道,129 ms,45 Mbps,5804 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,148 ms,168 Mbps,21606 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,149 ms,46 Mbps,5934 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,94 ms,2 Mbps,377 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,146 ms,47 Mbps,6050 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,130 ms,135 Mbps,17305 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,176 ms,159 Mbps,20377 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,169 ms,38 Mbps,4866 kB/s
158.101.201.244,443,2a0b:21c0:1007:1cb:0:8386:2d65:e0d5,DE,Frankfurt,隧道,170 ms,116 Mbps,14950 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,161 ms,114 Mbps,14643 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,166 ms,41 Mbps,5290 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,135 ms,159 Mbps,20377 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,150 ms,39 Mbps,5115 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,228 ms,36 Mbps,4715 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,178 ms,47 Mbps,6088 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,213 ms,45 Mbps,5840 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,132 ms,42 Mbps,5427 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,250 ms,84 Mbps,10854 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,160 ms,4 Mbps,555 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,172 ms,43 Mbps,5556 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,208 ms,2 Mbps,356 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,176 ms,0 Mbps,3 kB/s
193.123.80.245,443,193.123.80.245,AE,Marseille,中转,263 ms,24 Mbps,3130 kB/s
