中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,21 ms,896 Mbps,114688 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,4 ms,1584 Mbps,202752 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,3 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,1592 Mbps,203776 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,25 ms,1512 Mbps,193536 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,47 ms,682 Mbps,87347 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,73 ms,352 Mbps,45158 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,78 ms,5 Mbps,757 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,229 Mbps,29388 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,113 ms,49 Mbps,6296 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,50 Mbps,6444 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,111 ms,49 Mbps,6315 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,133 ms,48 Mbps,6261 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,155 ms,48 Mbps,6157 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,156 ms,164 Mbps,21094 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,163 ms,43 Mbps,5609 kB/s
143.47.176.251,443,2606:f240:f00:b2ed:0:ad70:1b03:d9b3,US,Frankfurt,隧道,191 ms,118 Mbps,15155 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,132 Mbps,16896 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,118 Mbps,15155 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,168 ms,20 Mbps,2596 kB/s
8.219.179.34,443,47.245.114.12,SG,Singapore,隧道,179 ms,77 Mbps,9968 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,42 Mbps,5423 kB/s
