中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,23 ms,716 Mbps,91750 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,47 ms,467 Mbps,59801 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,49 ms,466 Mbps,59699 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,628 Mbps,80384 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,29 ms,74 Mbps,9529 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,47 ms,371 Mbps,47513 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,560 Mbps,71782 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,25 ms,832 Mbps,106496 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,61 ms,326 Mbps,41779 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,48 ms,472 Mbps,60518 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,66 ms,353 Mbps,45260 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,124 ms,157 Mbps,20172 kB/s
143.47.245.240,443,2a0b:21c0:100a:1b7:0:ad08:265d:5d96,DE,Frankfurt,隧道,136 ms,203 Mbps,26009 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,125 ms,46 Mbps,5899 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,125 ms,163 Mbps,20889 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,133 ms,169 Mbps,21708 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,204 Mbps,26214 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,132 ms,165 Mbps,21196 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,121 ms,44 Mbps,5648 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,141 ms,39 Mbps,5084 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,160 ms,104 Mbps,13414 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,117 ms,40 Mbps,5132 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,167 ms,19 Mbps,2502 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,0 Mbps,94 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,204 ms,35 Mbps,4485 kB/s
8.219.128.8,443,8.219.69.217,SG,Singapore,隧道,253 ms,54 Mbps,6912 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,163 ms,33 Mbps,4293 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,1083 ms,24 Mbps,3142 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,193 ms,0 Mbps,8 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,194 ms,1 Mbps,223 kB/s
