中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,41 ms,608 Mbps,77926 kB/s
129.146.46.164,443,129.146.46.164,US,250 Mbps,32051 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,59 ms,320 Mbps,40960 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,220 Mbps,28262 kB/s
132.226.134.15,443,2a0b:21c0:100a:1b7:0:f103:e1ad:6172,DE,Frankfurt,隧道,99 ms,101 Mbps,13004 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,224 Mbps,28672 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,340 Mbps,43520 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,105 ms,249 Mbps,31948 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,96 ms,42 Mbps,5422 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,156 ms,131 Mbps,16793 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,7 ms,735 Mbps,94105 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,103 ms,334 Mbps,42803 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:1b,US,Los Angeles,隧道,75 ms,57 Mbps,7362 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,77 ms,250 Mbps,32051 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,70 ms,49 Mbps,6361 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,286 Mbps,36659 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,113 ms,72 Mbps,9304 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,16 ms,80 Mbps,10342 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,103 ms,290 Mbps,37171 kB/s
132.145.67.50,443,2606:f240:f00:2be4:0:3469:91:c2e1,US,Frankfurt,隧道,106 ms,213 Mbps,27340 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,90 ms,26 Mbps,3373 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,48 ms,108 Mbps,13824 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,55 ms,11 Mbps,1468 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,85 ms,303 Mbps,38809 kB/s
130.162.135.9,443,130.162.135.9,KR,Seoul,中转,218 ms,34 Mbps,4478 kB/s
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,218 ms,32 Mbps,4191 kB/s
35.230.79.26,443,35.212.248.117,US,Seattle,隧道,88 ms,326 Mbps,41779 kB/s
35.197.23.75,443,35.212.248.117,US,Seattle,隧道,71 ms,340 Mbps,43622 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,90 ms,24 Mbps,3097 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,255 ms,10 Mbps,1357 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,102 ms,320 Mbps,41062 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,97 ms,47 Mbps,6143 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,99 ms,236 Mbps,30208 kB/s
192.9.146.103,443,192.9.146.103,US,Los Angeles,中转,124 ms,287 Mbps,36761 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,97 ms,45 Mbps,5833 kB/s
146.56.146.67,443,146.56.146.67,KR,Seoul,中转,254 ms,77 Mbps,9888 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,136 ms,48 Mbps,6224 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,215 ms,0 Mbps,43 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,253 ms,57 Mbps,7332 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,115 ms,45 Mbps,5802 kB/s
8.222.205.210,443,8.222.220.238,SG,Singapore,隧道,271 ms,40 Mbps,5134 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,232 ms,76 Mbps,9729 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,232 ms,68 Mbps,8796 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,187 ms,118 Mbps,15155 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,241 ms,41 Mbps,5256 kB/s
168.138.149.17,443,168.138.149.17,BR,S
