中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,25 ms,739 Mbps,94617 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,6 ms,7 Mbps,995 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,5 ms,83 Mbps,10649 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,414 Mbps,53043 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,220 Mbps,28160 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,53 ms,344 Mbps,44134 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,54 ms,346 Mbps,44339 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,300 Mbps,38502 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,90 ms,269 Mbps,34508 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,75 ms,317 Mbps,40652 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,70 ms,257 Mbps,32972 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,70 ms,390 Mbps,49971 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,272 Mbps,34918 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,50 Mbps,6519 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,65 ms,305 Mbps,39116 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,256 Mbps,32768 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,94 ms,50 Mbps,6479 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,125 Mbps,16076 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,174 ms,40 Mbps,5235 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,28 Mbps,3646 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,222 ms,11 Mbps,1484 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,41 Mbps,5291 kB/s
130.162.36.198,443,2606:f240:f00:b2ed:0:4385:b4a4:7472,US,Salt Lake City,隧道,92 ms,107 Mbps,13721 kB/s
8.222.156.205,443,8.219.69.217,SG,Singapore,隧道,236 ms,55 Mbps,7157 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,245 ms,38 Mbps,4982 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,246 ms,36 Mbps,4689 kB/s
