中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,832 Mbps,106496 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,16 ms,6 Mbps,837 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,48 ms,448 Mbps,57344 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,320 Mbps,40960 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,59 ms,280 Mbps,35942 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,53 ms,544 Mbps,69632 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,60 ms,563 Mbps,72089 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,395 Mbps,50585 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,60 ms,504 Mbps,64512 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,430 Mbps,55091 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,466 Mbps,59699 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,110 ms,45 Mbps,5765 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,176 Mbps,22630 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,123 ms,184 Mbps,23654 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,115 ms,172 Mbps,22118 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,149 Mbps,19148 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,162 ms,18 Mbps,2352 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,162 ms,41 Mbps,5304 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,115 ms,43 Mbps,5580 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,158 ms,38 Mbps,4990 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,212 ms,38 Mbps,4966 kB/s
8.219.88.129,443,47.245.114.12,SG,Singapore,隧道,216 ms,50 Mbps,6478 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,218 ms,1 Mbps,137 kB/s
