中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,904 Mbps,115712 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,25 ms,2320 Mbps,296960 kB/s
34.82.76.253,443,34.168.231.76,US,Seattle,隧道,22 ms,604 Mbps,77312 kB/s
35.197.23.75,443,35.212.162.172,US,Seattle,隧道,26 ms,968 Mbps,123904 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,28 ms,311 Mbps,39833 kB/s
35.230.79.26,443,35.212.162.172,US,Seattle,隧道,29 ms,748 Mbps,95744 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,676 Mbps,86630 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Miami,隧道,17 ms,47 Mbps,6053 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,70 ms,288 Mbps,36864 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,276 Mbps,35430 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,67 ms,356 Mbps,45568 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,371 Mbps,47513 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,77 ms,40 Mbps,5222 kB/s
129.146.46.164,443,129.146.46.164,US,Newark,中转,89 ms,247 Mbps,31641 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,109 ms,2 Mbps,265 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,112 ms,45 Mbps,5767 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,112 ms,47 Mbps,6095 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,121 Mbps,15564 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,37 Mbps,4843 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,158 ms,43 Mbps,5568 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,169 ms,43 Mbps,5581 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,136 Mbps,17510 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,145 ms,144 Mbps,18432 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,164 ms,137 Mbps,17612 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,114 Mbps,14643 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,165 ms,40 Mbps,5224 kB/s
130.162.166.152,443,2a0b:21c0:1007:c7:0:a14d:fdd4:8f91,DE,Frankfurt,隧道,161 ms,115 Mbps,14745 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,40 Mbps,5241 kB/s
143.47.176.251,443,2a0b:21c0:1007:1c9:0:c3db:6fbd:c07e,DE,Frankfurt,隧道,172 ms,105 Mbps,13516 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,166 ms,38 Mbps,4925 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,182 ms,88 Mbps,11366 kB/s
158.101.221.74,443,23.236.112.222,DE,Frankfurt,隧道,162 ms,102 Mbps,13107 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,172 ms,2 Mbps,266 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,185 ms,4 Mbps,558 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,165 ms,40 Mbps,5133 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,156 ms,8 Mbps,1056 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,163 ms,2 Mbps,341 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,143 ms,12 Mbps,1627 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,270 ms,26 Mbps,3394 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,217 ms,0 Mbps,24 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,155 ms,0 Mbps,4 kB/s
