中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,12 ms,57 Mbps,7320 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,11 ms,824 Mbps,105472 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,8 ms,75 Mbps,9641 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,74 ms,348 Mbps,44544 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,787 Mbps,100761 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,93 ms,236 Mbps,30310 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,24 ms,1296 Mbps,165888 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,75 ms,275 Mbps,35225 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,85 ms,344 Mbps,44032 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,87 ms,48 Mbps,6242 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,9 ms,1768 Mbps,226304 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,72 ms,292 Mbps,37478 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,95 ms,336 Mbps,43110 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,76 ms,404 Mbps,51712 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,77 ms,264 Mbps,33894 kB/s
129.146.46.164,443,129.146.46.164,115 Mbps,14745 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,77 ms,364 Mbps,46592 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,47 Mbps,6033 kB/s
143.47.182.90,443,2a0b:21c0:1007:ca:0:1c8a:dab5:622a,DE,Frankfurt,隧道,95 ms,275 Mbps,35225 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,61 ms,322 Mbps,41267 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,81 ms,260 Mbps,33382 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,107 ms,273 Mbps,35020 kB/s
143.47.176.251,443,2a0b:21c0:1007:cb:0:c9a9:7920:454e,DE,Frankfurt,隧道,92 ms,278 Mbps,35635 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,95 ms,48 Mbps,6152 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,111 ms,239 Mbps,30617 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,93 ms,49 Mbps,6334 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,112 ms,324 Mbps,41472 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,102 ms,280 Mbps,35942 kB/s
152.70.56.11,443,2a0b:21c0:100a:1b2:0:56ea:4945:c78c,DE,Frankfurt,隧道,102 ms,238 Mbps,30515 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,99 ms,12 Mbps,1596 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,36 Mbps,4730 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,172 ms,115 Mbps,14745 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,172 ms,38 Mbps,4941 kB/s
131.186.61.103,443,2607:a400:a:6b:0:7fd8:b429:5ef1,US,Los Angeles,隧道,172 ms,115 Mbps,14745 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,180 ms,35 Mbps,4595 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,178 ms,134 Mbps,17203 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,205 ms,80 Mbps,10240 kB/s
130.162.144.191,443,2a09:bac5:4733:1482::20b:9f,KR,Seoul,隧道,224 ms,34 Mbps,4357 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,203 ms,91 Mbps,11673 kB/s
152.70.71.23,443,152.70.71.23,IN,Marseille,中转,222 ms,29 Mbps,3767 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,241 ms,82 Mbps,10547 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,245 ms,32 Mbps,4214 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,219 ms,29 Mbps,3775 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,221 ms,15 Mbps,2004 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,253 ms,0 Mbps,4 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,261 ms,2 Mbps,278 kB/s
47.57.233.126,443,47.89.252.205,US,San Jose,隧道,233 ms,2 Mbps,342 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,242 ms,56 Mbps,7260 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,215 ms,31 Mbps,3993 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,193 ms,29 Mbps,3802 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,304 ms,0 Mbps,16 kB/s
