中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,279 Mbps,35737 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,69 ms,370 Mbps,47411 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,50 ms,631 Mbps,80793 kB/s
35.230.79.26,443,35.212.152.186,US,Seattle,隧道,71 ms,317 Mbps,40652 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,91 ms,234 Mbps,30003 kB/s
34.82.76.253,443,34.169.18.214,US,Seattle,隧道,67 ms,389 Mbps,49868 kB/s
129.146.46.164,443,129.146.46.164,US,San Jose,中转,99 ms,248 Mbps,31744 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,82 ms,253 Mbps,32460 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,41 ms,521 Mbps,66764 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,43 ms,61 Mbps,7818 kB/s
35.197.23.75,443,35.212.152.186,US,Seattle,隧道,78 ms,372 Mbps,47616 kB/s
150.230.113.136,443,98.98.166.178,US,Frankfurt,隧道,109 ms,254 Mbps,32563 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,84 ms,50 Mbps,6440 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,36 Mbps,4618 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,75 ms,337 Mbps,43212 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,85 ms,299 Mbps,38297 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,101 ms,240 Mbps,30720 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,98 ms,230 Mbps,29491 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,98 ms,230 Mbps,29491 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,89 ms,47 Mbps,6052 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,104 ms,280 Mbps,35840 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,107 ms,219 Mbps,28057 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,90 ms,42 Mbps,5481 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,79 ms,0 Mbps,84 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,118 ms,40 Mbps,5207 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,106 ms,38 Mbps,4892 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,211 ms,103 Mbps,13209 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,93 ms,395 Mbps,50585 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,179 ms,110 Mbps,14131 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,26 ms,139 Mbps,17817 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,232 ms,57 Mbps,7353 kB/s
144.22.252.124,443,144.22.252.124,BR,S
