中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,824 Mbps,105472 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,67 ms,306 Mbps,39219 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,76 ms,415 Mbps,53145 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,75 ms,347 Mbps,44441 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,37 ms,2 Mbps,345 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,63 ms,394 Mbps,50483 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,71 ms,24 Mbps,3150 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,69 ms,324 Mbps,41574 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,72 ms,364 Mbps,46694 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,73 ms,336 Mbps,43110 kB/s
152.70.52.84,443,2606:f240:f00:a683:0:a57f:6ae3:6a0f,DE,Frankfurt,隧道,89 ms,246 Mbps,31539 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,87 ms,34 Mbps,4381 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,99 ms,274 Mbps,35123 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,92 ms,47 Mbps,6113 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,44 Mbps,5680 kB/s
129.146.46.164,443,129.146.46.164,US,Phoenix,中转,158 ms,204 Mbps,26214 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,109 Mbps,14028 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,177 ms,36 Mbps,4634 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,179 ms,40 Mbps,5167 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,180 ms,38 Mbps,4933 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,201 ms,32 Mbps,4153 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,229 ms,33 Mbps,4236 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,221 ms,1 Mbps,180 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,239 ms,36 Mbps,4735 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,219 ms,26 Mbps,3364 kB/s
