中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,48 ms,564 Mbps,72294 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,48 ms,526 Mbps,67379 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,590 Mbps,75571 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,47 ms,406 Mbps,52019 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,47 ms,501 Mbps,64204 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,409 Mbps,52428 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,545 Mbps,69836 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,264 Mbps,33792 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,50 ms,1 Mbps,213 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,46 Mbps,6005 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,127 ms,45 Mbps,5846 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,140 ms,164 Mbps,20992 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,128 ms,208 Mbps,26624 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,39 Mbps,5111 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,164 ms,37 Mbps,4846 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,123 ms,44 Mbps,5649 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,181 ms,8 Mbps,1026 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,196 ms,36 Mbps,4610 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,201 ms,2 Mbps,297 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,206 ms,27 Mbps,3533 kB/s
158.180.74.63,443,128.14.110.206,SG,Singapore,隧道,215 ms,84 Mbps,10752 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,161 ms,31 Mbps,4065 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,1187 ms,38 Mbps,4926 kB/s
