中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.103.203,443,43.153.103.203,US,San Jose,中转,18 ms,1104 Mbps,141312 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,24 ms,580 Mbps,74342 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,888 Mbps,113664 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,18 ms,1216 Mbps,155648 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,40 ms,506 Mbps,64819 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,20 ms,778 Mbps,99635 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,59 ms,591 Mbps,75673 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,39 ms,557 Mbps,71372 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,40 ms,501 Mbps,64204 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,324 Mbps,41472 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,53 ms,11 Mbps,1469 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,122 ms,41 Mbps,5351 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,145 ms,155 Mbps,19865 kB/s
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,108 ms,41 Mbps,5326 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,142 ms,41 Mbps,5283 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,115 ms,50 Mbps,6526 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,116 ms,218 Mbps,27955 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,49 Mbps,6394 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,143 ms,45 Mbps,5867 kB/s
143.47.229.194,443,2606:f240:f00:5a42:0:7f36:4a86:566a,DE,Frankfurt,隧道,143 ms,152 Mbps,19558 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,139 ms,47 Mbps,6094 kB/s
193.123.61.156,443,2606:f240:f00:83a7:0:98c5:c99b:f93f,DE,Frankfurt,隧道,144 ms,145 Mbps,18636 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,155 ms,43 Mbps,5626 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,169 ms,38 Mbps,4899 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,188 ms,30 Mbps,3862 kB/s
168.138.216.146,443,2602:ffe4:407:21d9:0:7023:874c:9f2e,SG,Singapore,隧道,195 ms,66 Mbps,8452 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,136 ms,49 Mbps,6302 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,158 ms,0 Mbps,49 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,168 ms,0 Mbps,5 kB/s
