中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,Portland,中转,77 ms,276 Mbps,35430 kB/s
129.146.46.164,443,129.146.46.164,US,219 Mbps,28057 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,4 ms,816 Mbps,104448 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,50 ms,719 Mbps,92057 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,456 Mbps,58470 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,51 Mbps,6624 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,3 ms,68 Mbps,8763 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,296 Mbps,37888 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,106 ms,248 Mbps,31744 kB/s
35.230.79.26,443,35.212.201.5,US,Seattle,隧道,76 ms,287 Mbps,36761 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,83 ms,48 Mbps,6181 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,92 ms,46 Mbps,5997 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,95 ms,44 Mbps,5703 kB/s
35.197.23.75,443,35.212.201.5,US,Seattle,隧道,75 ms,263 Mbps,33689 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,85 ms,338 Mbps,43315 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,6 ms,15 Mbps,1986 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,86 ms,240 Mbps,30822 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,318 Mbps,40755 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,75 ms,227 Mbps,29081 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,61 ms,45 Mbps,5841 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,133 ms,261 Mbps,33484 kB/s
129.146.7.98,443,2a09:bac5:60ec:1173::1bd:fd,US,Los Angeles,隧道,78 ms,70 Mbps,8983 kB/s
193.123.37.219,443,2a0b:21c0:100a:1b2:0:8c9e:bd4e:3d0b,DE,Frankfurt,隧道,99 ms,197 Mbps,25292 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,97 ms,257 Mbps,32972 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,131 ms,268 Mbps,34304 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,102 ms,30 Mbps,3900 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,69 ms,348 Mbps,44544 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,97 ms,292 Mbps,37376 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,89 ms,47 Mbps,6110 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,95 ms,48 Mbps,6206 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,104 ms,284 Mbps,36454 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,94 ms,41 Mbps,5290 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,173 ms,118 Mbps,15155 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,142 ms,162 Mbps,20787 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,100 ms,330 Mbps,42291 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,108 ms,88 Mbps,11366 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,93 ms,43 Mbps,5626 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,95 ms,47 Mbps,6120 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,209 ms,127 Mbps,16281 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,197 ms,86 Mbps,11059 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,238 ms,95 Mbps,12185 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,241 ms,38 Mbps,4889 kB/s
