中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,15 ms,984 Mbps,125952 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,51 ms,524 Mbps,67072 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,496 Mbps,63590 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,426 Mbps,54579 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,63 ms,288 Mbps,36966 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,478 Mbps,61235 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,127 ms,23 Mbps,3062 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,29 ms,763 Mbps,97689 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,61 ms,494 Mbps,63283 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,110 ms,44 Mbps,5698 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,54 ms,399 Mbps,51097 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,118 ms,40 Mbps,5142 kB/s
35.197.23.75,443,35.212.185.117,US,Seattle,隧道,62 ms,460 Mbps,58880 kB/s
35.230.79.26,443,35.212.185.117,US,Seattle,隧道,67 ms,458 Mbps,58675 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,151 Mbps,19353 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,110 ms,240 Mbps,30720 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,36 ms,59 Mbps,7638 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,120 ms,268 Mbps,34406 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,75 Mbps,9705 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,57 ms,480 Mbps,61542 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,94 Mbps,12083 kB/s
47.90.141.204,443,91.149.239.234,US,Los Angeles,隧道,34 ms,33 Mbps,4310 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,194 Mbps,24883 kB/s
192.9.146.103,443,192.9.146.103,US,Denver,中转,61 ms,436 Mbps,55808 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,62 ms,25 Mbps,3269 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,135 ms,178 Mbps,22835 kB/s
168.138.149.17,443,168.138.149.17,BR,S
