中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,72 ms,337 Mbps,43212 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,17 ms,824 Mbps,105472 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,17 ms,84 Mbps,10752 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,48 ms,512 Mbps,65536 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,176 Mbps,22630 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,13 ms,920 Mbps,117760 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,3 Mbps,392 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,27 ms,800 Mbps,102400 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,48 Mbps,6170 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,152 ms,153 Mbps,19660 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,55 ms,452 Mbps,57856 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,63 ms,400 Mbps,51302 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,105 ms,184 Mbps,23654 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,60 ms,415 Mbps,53145 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,276 Mbps,35328 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,70 Mbps,8967 kB/s
47.90.141.204,443,91.149.239.198,US,Los Angeles,隧道,20 ms,1 Mbps,217 kB/s
129.146.7.98,443,2a09:bac1:76a0:e18::26a:42,US,Los Angeles,隧道,60 ms,102 Mbps,13107 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,101 ms,48 Mbps,6230 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,240 Mbps,30822 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,60 ms,47 Mbps,6123 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,62 ms,244 Mbps,31334 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,61 ms,508 Mbps,65024 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,66 ms,499 Mbps,63897 kB/s
168.138.149.17,443,168.138.149.17,BR,S
