中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,774 Mbps,99123 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,16 ms,69 Mbps,8915 kB/s
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,50 ms,545 Mbps,69836 kB/s
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,48 ms,350 Mbps,44851 kB/s
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,50 ms,488 Mbps,62566 kB/s
129.159.84.71,443,129.159.84.71,US,Newark,中转,43 ms,0 Mbps,98 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,54 ms,388 Mbps,49766 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,470 Mbps,60211 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,55 ms,428 Mbps,54784 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,255 Mbps,32665 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,102 ms,15 Mbps,2018 kB/s
152.70.52.84,443,163.123.193.4,DE,Frankfurt,隧道,108 ms,195 Mbps,24985 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,200 Mbps,25702 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,108 ms,46 Mbps,5898 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,115 ms,47 Mbps,6019 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,189 Mbps,24268 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,109 ms,46 Mbps,5952 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,154 ms,43 Mbps,5588 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,157 ms,142 Mbps,18227 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,8 Mbps,1101 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,163 ms,43 Mbps,5527 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,200 ms,35 Mbps,4571 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,216 ms,28 Mbps,3598 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,198 ms,35 Mbps,4578 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,18 Mbps,2306 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,220 ms,64 Mbps,8276 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,195 ms,27 Mbps,3526 kB/s
