中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Chicago,中转,47 ms,500 Mbps,64000 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,104 ms,268 Mbps,34304 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,78 ms,256 Mbps,32768 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,33 ms,581 Mbps,74444 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,104 ms,95 Mbps,12185 kB/s
198.23.254.51,443,198.23.254.51,US,Los Angeles,中转,71 ms,221 Mbps,28364 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,97 ms,151 Mbps,19353 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,13 ms,56 Mbps,7257 kB/s
143.47.182.90,443,2a0b:21c0:1007:1c9:0:7a8f:a068:d47a,DE,Frankfurt,隧道,89 ms,291 Mbps,37273 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,234 ms,1 Mbps,255 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,368 Mbps,47206 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,94 ms,29 Mbps,3771 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,111 ms,347 Mbps,44441 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,244 ms,39 Mbps,5106 kB/s
192.18.134.231,443,192.18.134.231,US,Los Angeles,中转,87 ms,284 Mbps,36454 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,72 ms,377 Mbps,48332 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,88 ms,304 Mbps,39014 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,236 ms,29 Mbps,3759 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,477 Mbps,61132 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,118 ms,365 Mbps,46796 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,238 ms,108 Mbps,13824 kB/s
158.101.208.175,443,2a0b:21c0:100a:1b4:0:f8d0:d155:8734,DE,Frankfurt,隧道,102 ms,226 Mbps,28979 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,135 ms,44 Mbps,5706 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,146 ms,45 Mbps,5809 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,83 ms,266 Mbps,34099 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,117 ms,284 Mbps,36454 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,11 ms,732 Mbps,93798 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,67 ms,396 Mbps,50790 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,71 ms,357 Mbps,45772 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,96 ms,396 Mbps,50790 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,245 ms,62 Mbps,8033 kB/s
47.90.141.204,443,91.149.239.206,US,Los Angeles,隧道,17 ms,8 Mbps,1147 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,106 ms,48 Mbps,6205 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,83 ms,304 Mbps,38912 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,165 ms,240 Mbps,30822 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,246 ms,4 Mbps,550 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,52 ms,64 Mbps,8201 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,162 ms,242 Mbps,31027 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,228 ms,126 Mbps,16179 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,149 ms,224 Mbps,28672 kB/s
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,224 ms,34 Mbps,4382 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,123 ms,47 Mbps,6130 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,97 ms,47 Mbps,6111 kB/s
155.248.196.123,443,155.248.196.123,US,Toronto,中转,89 ms,41 Mbps,5327 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,154 ms,43 Mbps,5589 kB/s
168.138.149.17,443,168.138.149.17,BR,S
