中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,18 ms,389 Mbps,49868 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,27 ms,1176 Mbps,150528 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,23 ms,534 Mbps,68403 kB/s
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,37 ms,629 Mbps,80588 kB/s
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,36 ms,448 Mbps,57446 kB/s
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,38 ms,445 Mbps,57036 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,350 Mbps,44851 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,42 ms,497 Mbps,63692 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,18 ms,872 Mbps,111616 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,56 ms,374 Mbps,47923 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,58 ms,41 Mbps,5266 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,53 ms,366 Mbps,46899 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,121 ms,42 Mbps,5408 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,114 ms,43 Mbps,5506 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,118 ms,197 Mbps,25292 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,110 ms,3 Mbps,496 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,144 ms,39 Mbps,5045 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,121 ms,43 Mbps,5543 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,138 ms,41 Mbps,5275 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,119 Mbps,15257 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,150 ms,121 Mbps,15564 kB/s
152.70.62.177,443,2606:f240:f00:2be4:0:4470:4e53:53a7,DE,Frankfurt,隧道,151 ms,113 Mbps,14540 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,150 ms,122 Mbps,15667 kB/s
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,146 ms,119 Mbps,15257 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,152 ms,49 Mbps,6277 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,162 ms,47 Mbps,6102 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,119 ms,29 Mbps,3751 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,165 Mbps,21196 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,160 ms,48 Mbps,6233 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,175 ms,35 Mbps,4551 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,153 ms,4 Mbps,557 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,172 ms,3 Mbps,471 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,144 ms,0 Mbps,90 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,696 ms,37 Mbps,4778 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,183 ms,0 Mbps,28 kB/s
